idp,x,y,z
1144,-60.38251,-34.8195,2
1145,-60.00903,-34.7135,0
1147,-60.19986,-34.73847,0
1157,-69.10634,-33.75399,NA
1171,-60.05334,-34.73649,2
1172,-60.03687,-34.73902,2
1173,-60.05592,-34.715,NA
1174,-60.11127,-34.69664,2
1175,-60.14284,-34.78937,2
1176,-60.43147,-34.90074,2
1177,-60.43048,-34.89758,2
1178,-60.47222,-34.96632,2
1179,-60.47058,-34.96777,1
1180,-60.27125,-34.86411,2
1181,-60.10817,-34.991,2
1182,-60.10918,-34.99114,2
1183,-60.24196,-34.98798,2
1184,-60.24125,-34.98587,2
1185,-60.09032,-34.93115,2
1188,-59.85668,-34.79894,2
1189,-59.7425,-34.80422,2
1190,-59.83019,-34.6765,0
1191,-60.23577,-31.63302,0
1192,-59.8766,-31.3458,1
1193,-59.61058,-31.45014,0
1194,-59.81835,-34.7166,2
1195,-59.41596,-31.3245,1
1196,-60.05176,-31.67779,0
1197,-58.10751,-31.36871,0
1198,-59.76261,-31.38985,1
1199,-59.84719,-31.48567,1
1200,-59.78276,-31.38748,0
1201,-59.61881,-31.36642,0
1202,-59.41585,-31.21178,1
1203,-59.38431,-31.24404,1
1204,-59.4606,-31.07567,NA
1205,-59.57007,-32.95486,1
1206,-59.54474,-32.92113,0
1207,-59.54496,-32.8881,0
1208,-59.58382,-32.71649,0
1209,-59.6453,-32.81901,1
1210,-59.68025,-32.85565,1
1211,-59.57632,-32.60098,1
1212,-59.69318,-32.78656,2
1213,-59.76217,-32.76195,0
1214,-59.76936,-32.60668,0
1215,-59.27267,-33.10247,0
1216,-59.4671,-33.13198,0
1217,-59.57499,-33.11232,0
1218,-59.17322,-32.83755,2
1219,-59.75499,-32.64059,0
1220,-59.76297,-32.89963,0
1221,-58.1025,-31.65934,2
1222,-58.11302,-31.36846,0
1223,-58.11621,-31.35632,0
1224,-58.11465,-31.3564,0
1225,-59.74969,-32.96577,NA
1226,-59.26112,-32.58467,1
1227,-59.3612,-32.14476,1
1228,-59.32315,-32.08946,1
1229,-59.81627,-34.71637,0
1230,-59.34123,-31.97072,0
1231,-59.9085,-34.80044,2
1232,-59.2662,-31.93404,0
1233,-59.97346,-34.72832,2
1234,-59.11172,-32.0935,0
1235,-59.11654,-32.09324,0
1236,-59.88379,-34.881100000000004,0
1237,-58.46376,-31.44775,1
1238,-59.5906,-34.78121,2
1239,-59.59651,-34.77141,0
1240,-59.60915,-34.71306,0
1241,-59.60092,-34.72694,2
1243,-59.72304,-34.74944,0
1244,-59.72855,-34.76423,0
1245,-62.67056,-38.76917,0
1246,-59.55132,-34.86484,0
1247,-59.55636,-34.87709,0
1249,-59.91266,-34.92846,1
1250,-59.90726,-34.94221,2
1251,-59.85333,-34.93702,0
1252,-59.85606,-34.95195,0
1253,-62.60917,-38.72806,0
1254,-62.35894,-39.0937,0
1255,-62.65437,-38.8988,0
1256,-62.01485,-39.37977,0
1257,-56.61282,-27.4688,NA
1258,-62.36422,-39.25896,0
1259,-59.87035,-34.96003,0
1260,-59.72199,-34.96532,0
1261,-59.8904,-34.87733,0
1262,-62.78127,-38.93948,0
1263,-59.76614,-34.83449,2
1264,-59.60693,-34.8887,1
1266,-59.68756,-34.96044,0
1267,-62.61186,-38.73665,0
1268,-59.74656,-34.83631,0
1269,-62.21593,-38.77375,0
1270,-62.34189,-38.95389,0
1271,-62.16847,-39.31414,0
1272,-62.9133,-38.72776,0
1273,-62.76757,-38.81773,0
1274,-62.47796,-38.89305,0
1275,-59.66564,-34.95717,0
1278,-59.7045,-34.9909,0
1281,-60.03462,-34.88446,0
1282,-62.96514,-38.80566,0
1283,-62.9732,-38.84651,0
1284,-62.97678,-38.70619,0
1285,-62.34619,-38.96041,0
1286,-59.37778,-34.78611,0
1287,-57.99717,-29.76367,0
1288,-62.84964,-38.67477,0
1289,-59.50424,-34.7395,2
1290,-59.45722,-34.83109,0
1291,-62.66796,-38.7697,0
1292,-62.73697,-38.96911,0
1293,-62.96459,-38.88573,0
1294,-59.25518,-34.79397,0
1295,-59.52849,-34.7444,0
1296,-62.55265,-38.71653,0
1297,-62.68467,-38.8629,0
1298,-59.27163,-34.80384,0
1299,-62.23044,-39.29572,0
1300,-62.00896,-39.38469,0
1301,-59.41459,-34.70648,0
1302,-59.41414,-34.71102,0
1303,-62.97043,-38.78871,0
1304,-62.33938,-39.02625,0
1305,-59.18416,-34.76284,0
1306,-59.20251,-34.76552,0
1307,-59.07865,-34.73579,2
1308,-59.08138,-34.749,0
1309,-62.39629,-39.14087,2
1310,-62.67486,-39.02084,0
1311,-62.45245,-38.90082,0
1313,-59.18714,-34.747,0
1314,-62.77946,-38.68887,0
1319,-59.38268,-34.93751,0
1320,-59.39658,-34.9388,0
1321,-59.31973,-34.9753,2
1322,-59.29896,-34.97451,0
1323,-59.44099,-34.84382,0
1324,-59.37974,-34.92106,0
1325,-62.46946,-38.98294,0
1326,-59.17383,-34.95135,0
1327,-62.14258,-38.76938,0
1328,-59.1747,-34.95282,0
1329,-59.11928,-34.94837,0
1330,-59.15833,-34.94417,0
1331,-59.15817,-34.94695,2
1337,-62.0812,-38.75374,0
1338,-62.03737,-38.75055,2
1339,-62.00448,-38.77267,0
1341,-62.01127,-38.84108,0
1344,-62.7098,-39.09529,0
1347,-62.02096,-38.71371,0
1349,-62.53004,-38.89994,0
1350,-62.73718,-39.12496,0
1352,-62.80704,-39.08303,0
1355,-59.9342,-34.44423,2
1356,-62.61833,-39.39333,0
1357,-62.71644,-39.49652,0
1358,-59.64917,-34.58389,0
1359,-59.66172,-34.64698,2
1361,-62.625,-39.39167,0
1364,-59.03622,-34.41498,1
1365,-59.22091,-34.37107,1
1366,-59.09495,-34.48652,1
1367,-59.39224,-34.60842,0
1368,-59.40015,-34.61085,0
1369,-62.99,-39.47389,0
1370,-59.44743,-34.52893,0
1373,-59.25317,-34.58162,2
1378,-59.15093,-34.65072,0
1379,-58.96256,-34.43718,NA
1380,-58.98264,-34.35435,0
1381,-58.94216,-34.65134,0
1382,-58.94853,-34.64611,0
1392,-58.95315,-34.64741,2
1393,-59.65788,-34.48117,0
1394,-59.67194,-34.53411,0
1395,-59.23774,-34.58389,NA
1404,-61.03058,-35.06008,2
1405,-61.03895,-35.08155,0
1406,-61.20778,-35.06111,2
1410,-61.1815,-35.17326,0
1417,-61.19817,-35.27108,0
1418,-61.12117,-35.28362,0
1419,-61.44232,-35.27113,2
1422,-60.55919,-35.06946,0
1423,-60.61611,-35.10694,0
1426,-60.90292,-35.17816,2
1427,-60.68763,-35.05087,2
1428,-60.672110000000004,-35.02906,0
1429,-60.51772,-35.01683,2
1430,-65.10905,-24.03244,NA
1431,-64,-23,0
1432,-60.52059,-35.00357,2
1433,-60.794670000000004,-35.26915,2
1436,-63.63172,-23.84499,NA
1438,-63.81263,-23.99459,0
1439,-60.78283,-35.21161,0
1440,-60.88593,-35.28672,2
1444,-60.88745,-35.28457,2
1445,-60.82861,-35.30361,NA
1450,-60.69194,-35.25417,2
1459,-60.58402,-35.30407,0
1460,-60.38658,-35.08656,0
1461,-63.96736,-22.87204,NA
1462,-63.82824,-22.44853,0
1463,-63.91574,-22.75508,0
1464,-64.85969,-22.9312,NA
1465,-64.56967,-23,NA
1466,-64.54434,-23.23946,NA
1467,-60.3775,-35.09889,2
1468,-60.10829,-35.08631,0
1478,-64.36626,-23.03139,0
1479,-64.36839,-23.00318,0
1483,-60.43272,-35.18007,0
1484,-60.43533,-35.17738,2
1487,-60.37165,-35.3118,0
1491,-59.37293,-32.11854,1
1492,-60.0847,-35.13828,2
1493,-60.3081,-35.31535,0
1496,-61.28417,-34.4811,0
1498,-60.18175,-35.21841,0
1499,-60.07135,-35.229,NA
1500,-60.1054,-35.25845,2
1501,-60.13356,-35.28943,0
