idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
26828,6056,"-36.10139","-57.96980",0,20,"10YR2/1","10YR3/2",20800,16200,"76.00","2.61","5.80","32.40","10YR",2,1,"10YR",3,2
26829,6056,"-36.10139","-57.96980",20,42,"10YR2/1","10YR4/2",19600,14900,"76.00","1.78","5.80","30.90","10YR",2,1,"10YR",4,2
26830,6056,"-36.10139","-57.96980",42,55,"10YR2/2","10YR4/3",18500,14100,"82.00","0.83","6.00","33.90","10YR",2,2,"10YR",4,3
26769,6057,"-36.10741","-57.91801",0,4,,,14700,22200,"100.00","1.20","9.90","15.40",,,,,,
26770,6057,"-36.10741","-57.91801",4,16,,,21200,,,"0.87","10.20","25.40",,,,,,
26771,6057,"-36.10741","-57.91801",16,40,,,48500,,,"0.51","10.30","44.60",,,,,,
26772,6058,"-36.08503","-57.95612",0,11,"10YR3/1","10YR4.5/2",17500,16300,"93.00","2.69","6.60","28.90","10YR",3,1,"10YR",4.5,2
26773,6058,"-36.08503","-57.95612",11,24,"10YR2/2","10YR5/1",19800,20400,"100.00","1.27","7.60","33.60","10YR",2,2,"10YR",5,1
26774,6058,"-36.08503","-57.95612",24,29,"10YR3/2","10YR5/1",22100,24300,"100.00","0.55","8.10","37.60","10YR",3,2,"10YR",5,1
26775,6058,"-36.08503","-57.95612",29,52,"10YR4/2","10YR5/4",42700,,,"0.45","8.20","55.10","10YR",4,2,"10YR",5,4
26785,6060,"-36.19684","-57.54215",0,5,"10YR3/1",,24600,19400,"79.00","5.74","6.30","27.30","10YR",3,1,,,
26786,6060,"-36.19684","-57.54215",5,32,"10YR2/1",,43700,46900,"100.00","2.09","8.50","68.30","10YR",2,1,,,
26787,6060,"-36.19684","-57.54215",32,70,"5Y4/2",,35300,,,"0.37","9.00","51.70","5Y",4,2,,,
26790,6061,"-36.29851","-57.51983",0,4,"10YR3/2",,,,,,,,"10YR",3,2,,,
26791,6061,"-36.29851","-57.51983",4,30,"10YR2/1",,39100,37400,"96.00","2.53","7.90","58.50","10YR",2,1,,,
26792,6061,"-36.29851","-57.51983",30,95,"5Y5/2",,38700,,,"0.22","9.20","60.80","5Y",5,,,,
26795,6062,"-36.08937","-57.95766",0,12,"10YR3/1","10YR5/2",19800,19300,"98.00","3.56","7.10","23.10","10YR",3,1,"10YR",5,2
26796,6062,"-36.08937","-57.95766",12,38,"10YR2/2","10YR5/2",42700,,,"0.67","8.60","49.20","10YR",2,2,"10YR",5,2
26797,6062,"-36.08937","-57.95766",38,90,"7.5YR4/3","7.5YR6/2",35700,,,"0.14","8.90","40.60","7.5YR",4,3,"7.5YR",6,2
26800,6063,"-36.08436","-57.64075",0,12,"10YR3/1","10YR5/1",23900,21700,"91.00","3.54","7.10","26.60","10YR",3,1,"10YR",5,1
26801,6063,"-36.08436","-57.64075",12,40,"10YR2/1",,49600,,,"1.53","8.60","65.10","10YR",2,2,,,
26802,6063,"-36.08436","-57.64075",40,81,"7.5YR4/4",,19800,,,"0.13","9.10","28.90","7.5YR",4,4,,,
26920,6064,"-36.12990","-57.85217",0,13,"10YR3/1",,22000,19700,"90.00","3.65","6.00","23.80","10YR",3,1,,,
26921,6064,"-36.12990","-57.85217",13,30,"10YR2.5/1",,18500,18100,"98.00","2.15","7.00","27.60","10YR",2.5,1,,,
26922,6064,"-36.12990","-57.85217",30,64,"10YR4/2",,11000,12000,"100.00","0.25","7.90","23.70","10YR",4,2,,,
26804,6065,"-36.11894","-57.61012",0,8,"10YR3/1",,26300,25700,"98.00","3.87","8.10","36.50","10YR",3,1,,,
26805,6065,"-36.11894","-57.61012",8,24,"10YR2/1",,44500,,,"1.49","8.20","74.10","10YR",2,1,,,
26806,6065,"-36.11894","-57.61012",24,42,"2.5Y4/2",,35600,,,"0.34","8.30","59.00","2.5Y",4,2,,,
26807,6065,"-36.11894","-57.61012",42,91,"7.5YR3/2",,,,,,"8.20","26.60","7.5YR",3,2,,,
26809,6066,"-36.16159","-57.88168",0,20,"10YR2/2","10YR5/2",23700,15800,"67.00","2.93",,"26.70","10YR",2,2,"10YR",5,2
26810,6066,"-36.16159","-57.88168",20,37,"10YR4/2","10YR7/2",12400,11200,"90.00","0.29",,"24.00","10YR",4,2,"10YR",7,2
26811,6066,"-36.16159","-57.88168",37,55,"10YR2/2",,24600,22000,"90.00","0.43",,"41.20","10YR",2,2,,,
26822,6068,"-36.04232","-57.84631",0,15,"10YR2/1",,21400,17100,"80.00","3.86","6.00","23.80","10YR",2,1,,,
26823,6068,"-36.04232","-57.84631",15,21,"10YR4/2",,7100,9000,"100.00","0.27","7.20","15.00","10YR",4,2,,,
26824,6068,"-36.04232","-57.84631",21,46,"5Y4/1",,29500,29000,"98.00","0.33","7.40","55.20","5Y",4,,,,
26825,6068,"-36.04232","-57.84631",46,65,"7.5YR5/4",,28800,29900,"100.00","0.10","7.80","55.10","7.5YR",5,4,,,
26834,6070,"-36.08063","-57.86957",0,12,"10YR2/1.5",,26000,21100,"81.00","5.62","5.60","30.20","10YR",2,1.5,,,
26835,6070,"-36.08063","-57.86957",12,30,"10YR4/4",,9700,10600,"100.00","0.27","7.50","18.50","10YR",4,4,,,
26836,6070,"-36.08063","-57.86957",30,67,"10YR3/1",,34600,34100,"98.00","0.39","7.80","57.50","10YR",3,1,,,
26840,6071,"-36.14039","-57.78541",0,18,"10YR4/2","10YR6/2",16200,17700,"100.00","1.19","8.90","17.50","10YR",4,2,"10YR",6,2
26841,6071,"-36.14039","-57.78541",18,40,"10YR3/2","10YR5/2",38300,,,"0.12","9.90","44.20","10YR",3,2,"10YR",5,2
26842,6071,"-36.14039","-57.78541",40,70,"7.5YR5/4","7.5YR6/4",30500,,,"0.08","9.90","32.40","7.5YR",5,4,"7.5YR",6,4
26851,6073,"-36.14231","-57.63139",0,18,"10YR2/1",,24200,20200,"83.00","5.25",,"27.10","10YR",2,1,,,
26852,6073,"-36.14231","-57.63139",18,44,"5Y3/1",,24200,23600,"98.00","0.56",,"42.20","5Y",3,1,,,
26853,6073,"-36.14231","-57.63139",44,72,"5Y4/1",,19000,18600,"98.00","0.30",,"30.60","5Y",4,1,,,
26861,6075,"-36.10245","-57.96959",0,37,"10YR2/1","10YR3.5/1",21500,20600,"95.00","2.47","7.00","22.40","10YR",2,1,"10YR",3.5,1
26862,6075,"-36.10245","-57.96959",37,58,"7.5YR3/2","7.5YR5/2",23300,21300,"91.00","0.70","7.00","32.20","7.5YR",3,2,"7.5YR",5,2
26866,6076,"-36.13998","-57.84455",0,15,"10YR3/2","10YR6/2",25800,26000,"100.00","1.73","9.20","21.60","10YR",3,2,"10YR",6,2
26867,6076,"-36.13998","-57.84455",15,30,"10YR3/2","10YR5/2",48700,,,"0.84","9.60","49.00","10YR",3,2,"10YR",5,2
26868,6076,"-36.13998","-57.84455",30,49,"7.5YR3/2","7.5YR5/3",50500,,,"0.50","9.50","54.50","7.5YR",3,2,"7.5YR",5,3
26869,6076,"-36.13998","-57.84455",49,100,"7.5YR4/3","7.5YR6/4",40600,,,"0.19","9.30","29.20","7.5YR",4,3,"7.5YR",6,4
