idh	idp	top	cec	ca	mg	k	na	bsum_sisinta	bsum_calculada	bsat
537	408	0	21.8	12.3	3.1	3.1	0.1	18.6	0	85.3211009174312
538	408	8	20.7	10.9	2.8	2.7	0.1	16.5	0	79.7101449275362
539	408	17	32.1	19.3	5.3	4.1	0.1	28.8	0	89.7196261682243
562	412	0	17.3	9.9	1.5	1.7	0.2	13.3	0	76.878612716763
563	412	11	18.3	11.2	1.8	1.6	0.2	14.8	0	80.8743169398907
564	412	22	18.8	10.1	2.6	1.7	0.2	14.6	0	77.6595744680851
569	413	0	19.4	12.2	1.9	2	0.1	16.2	2	83.5051546391753
570	413	16	19.3	12.2	1.9	1.2	0.1	15.4	0	79.7927461139896
577	414	0	19.2	11.7	1.9	2	0.1	15.7	2	81.7708333333333
578	414	13	18.8	11.7	2.1	0.5	0.1	14.4	0	76.5957446808511
585	415	0							0	
586	415	17							0	
591	416	0	21	9.5	3.2	2.4	0.4	15.5	0	73.8095238095238
592	416	10	20.9	10.1	2.6	1.6	0.5	14.8	0	70.8133971291866
593	416	20	16.4	9.1	2.2	1.2	1.6	14.1	0	85.9756097560976
598	417	0	16.7	9.7	5.7	2.2	3.5	21.1	0	100
599	417	20	28.2	10.1	6.7	3.2	11.5	31.5	0	100
602	418	0							0	
603	418	12							0	
608	419	0	17.8	10.9	1.9	1.4	0.3	14.5	0	81.4606741573034
609	419	21	18.5	10.5	3.2	1.4	0.5	15.6	0	84.3243243243243
613	420	0	20.1	11.9	3.1	1	0.1	16.1	1	80.0995024875622
619	421	0	16.4	5.3	1.3	2.4	9.8	18.8	0	100
620	421	18	29.4			3.8	21.6		0	
623	422	0	23	10.5	6.96	2.25	1.7	21.41	0	93.0869565217391
624	422	18	23.5	9.7	2.78	3.3	5.1	20.88	0	88.8510638297872
628	423	0	17.8	9	2	2.5	0.3	13.8	11	77.5280898876405
629	423	14	17.6	7.8	1.8	2.1	0.3	12	0	68.1818181818182
630	423	24	12.8	7	1.4	1.6	0.4	10.4	7	81.25
640	425	0	22.1	12.6	3.3	2	0.4	18.3	2	82.8054298642534
641	425	16	19.1	12.2	3.6	1.8	0.4	18	0	94.2408376963351
642	425	23	20.4	12.3	4.1	1.8	0.7	18.9	0	92.6470588235294
647	426	0	20.1	11.5	3.6	2	0.5	17.6	2	87.5621890547264
648	426	17	20.8	12.4	3.7	2	0.5	18.6	2	89.4230769230769
654	427	0	16.4	10.1	2.3	1.4	0.3	14.1	0	85.9756097560976
655	427	24	9.8	5.3	1.8	1	0.4	8.5	1	86.734693877551
660	428	0	19.2	11.5	3.1	1.9	0.3	16.8	0	87.5
661	428	10	19.3	12.1	3.1	1.7	0.2	17.1	0	88.6010362694301
662	428	23	23.7	15.2	4.2	1.5	0.2	21.1	0	89.0295358649789
671	430	0	20.1	12	2.7	2.4	0.2	17.3	12	86.0696517412935
672	430	18	18.5	10.9	3.1	2	0.1	16.1	2	87.027027027027
676	431	0	22.7	14.9	2.3	2.9	0.2	20.3	0	89.4273127753304
677	431	20	20.6	14	1.7	2.7	0.2	18.6	14	90.2912621359223
682	432	0	20.3	12.8	2.7	2.2	0.3	18	0	88.6699507389162
683	432	17	20	14.2	1.2	2.1	0.2	17.7	0	88.5
688	433	0	12.3	4.1	4.4	1.8	1.8	12.1	0	98.3739837398374
689	433	14	27.4			4.3	12.8		0	
692	434	0	16.7			2.5	1.2		0	
695	435	0	20.7	10.7	4.7	2.7	0.9	19	0	91.7874396135266
696	435	24	19.1	9.9	5.1	2.4	0.9	18.3	0	95.8115183246073
699	436	0	18.7	9.2	3.7	2.2	0.9	16	0	85.5614973262032
700	436	16	19.4	10.9	3.5	2.5	0.9	17.8	0	91.7525773195876
702	437	0	33.4	19.3	4.4	2.6	0.2	26.5	0	79.3413173652695
703	437	20	28.1	16	4.2	2	0.1	22.3	18	79.3594306049822
709	438	0	19.6	12.4	1.4	1.8	0.1	15.6	0	79.5918367346939
