idh,idp,y,x,top,bot,colh,cols,cec,bsum,bsat,oc,ph,clay,h_humedo,value_humedo,chroma_humedo,h_seco,value_seco,chroma_seco
2872,776,-34.416667,-59.349999,28,47,10YR 3/4,10YR 4/3,33.3,34.2,100,0.47,8.8,51.8,10YR,3,4,10YR,4,3
2873,776,-34.416667,-59.349999,47,78,7.5YR 4/2,7.5YR 5/2,19,NA,NA,0.25,8.8,43.3,7.5YR,4,2,7.5YR,5,2
2878,778,-33.798614,-60.447042,0,12,10YR 3/2,10YR 5/2,24.6,19.5,79,2.32,6.2,26.8,10YR,3,2,10YR,5,2
2879,778,-33.798614,-60.447042,12,34,10YR 3/3,NA,21.9,18.4,84,1.17,6.4,32.9,10YR,3,3,NA,,
2880,778,-33.798614,-60.447042,34,55,10YR 3/3,NA,29,23.9,83,0.91,6.8,37.8,10YR,3,3,NA,,
2886,779,-33.761071,-60.370487,3,18,10YR 4/2,10YR 6/2,15.6,14.2,91,1.58,7.1,23.9,10YR,4,2,10YR,6,2
2887,779,-33.761071,-60.370487,18,29,10YR 3/3,10YR 3/4,22.8,27.4,NA,0.81,9.3,30.9,10YR,3,3,10YR,3,4
2888,779,-33.761071,-60.370487,29,42,7.5YR 3/2,7.5YR 3/2,36.3,39.1,NA,0.34,9.5,44.9,7.5YR,3,2,7.5YR,3,2
2889,779,-33.761071,-60.370487,42,70,7.5YR 5/4,7.5YR 5/4,39.6,42.8,NA,0.22,9.3,54.8,7.5YR,5,4,7.5YR,5,4
2892,780,-33.680417,-60.406966,0,12,10YR 3/2,10YR 3/2,21.5,18.8,87,1.81,6.8,25,10YR,3,2,10YR,3,2
2893,780,-33.680417,-60.406966,12,25,10YR 2/2,10YR 2/2,23,19.8,86,1.73,6.8,29.1,10YR,2,2,10YR,2,2
2894,780,-33.680417,-60.406966,25,34,10YR 3/3,NA,23.6,19.2,82,1.12,6.8,35.5,10YR,3,3,NA,,
2895,780,-33.680417,-60.406966,34,60,7.5YR 3/2,NA,34.5,31.3,91,0.71,6.9,49.4,7.5YR,3,2,NA,,
2904,781,-33.679894,-60.294175,0,13,10YR 3/2,NA,23,18,78,2,6,26.6,10YR,3,2,NA,,
2905,781,-33.679894,-60.294175,13,29,10YR 2/2,NA,22.8,20.8,91,1.69,6.2,32.5,10YR,2,2,NA,,
2906,781,-33.679894,-60.294175,29,40,10YR 3/3,NA,22.5,19.3,86,0.9,6.4,34.4,10YR,3,3,NA,,
2907,781,-33.679894,-60.294175,40,80,7.5YR 4/2,NA,36.3,32.3,89,0.71,7,54.4,7.5YR,4,2,NA,,
2912,782,-34.436062,-59.336794,0,20,10YR 2/2,NA,24.3,22.3,92,2.48,7,26.5,10YR,2,2,NA,,
2913,782,-34.436062,-59.336794,20,33,10YR 2/1.5,NA,24.4,22.6,93,1.98,6.9,27.8,10YR,2,1.5,NA,,
2914,782,-34.436062,-59.336794,33,48,10YR 3/3,NA,18.7,17.7,95,0.62,6.5,27.7,10YR,3,3,NA,,
2915,782,-34.436062,-59.336794,48,88,7.5YR 3.5/2,NA,25.6,24.2,95,0.53,6.4,41.8,7.5YR,3.5,2,NA,,
2920,783,-33.750974,-60.318813,0,16,10YR 3/2,10YR 4/2,21,18.6,88,1.86,6,25.4,10YR,3,2,10YR,4,2
2921,783,-33.750974,-60.318813,16,31,10YR 2/2,NA,22.9,19.5,85,1.52,6.3,30.6,10YR,2,2,NA,,
2922,783,-33.750974,-60.318813,31,50,10YR 3/3,NA,22,19.6,89,0.56,6.6,36,10YR,3,3,NA,,
2923,783,-33.750974,-60.318813,50,78,7.5YR 4/2,NA,30,28.8,96,0.43,6.7,48.1,7.5YR,4,2,NA,,
2931,784,-34.409376,-59.273543,0,23,10YR 3/2,10YR 5/2,27.9,27.4,98,1.32,7.5,35.4,10YR,3,2,10YR,5,2
2932,784,-34.409376,-59.273543,23,39,10YR 3/3,NA,38,39.2,100,1.12,8,50.4,10YR,3,3,NA,,
2933,784,-34.409376,-59.273543,39,78,7.5YR 4.5/4,NA,23.8,NA,NA,0.27,8,47.6,7.5YR,4.5,4,NA,,
2946,785,-33.779958,-60.368878,0,11,10YR 3/3,NA,15.7,14.5,92,1.35,7.5,21.6,10YR,3,3,NA,,
2947,785,-33.779958,-60.368878,11,20,10YR 3/3,NA,16.4,15.6,95,1.16,8,23.4,10YR,3,3,NA,,
2948,785,-33.779958,-60.368878,20,42,10YR 3/2,NA,36.2,NA,NA,0.83,9.3,43.1,10YR,3,2,NA,,
2949,785,-33.779958,-60.368878,42,67,7.5YR 4/2,NA,36.3,NA,NA,0.42,9.4,35.9,7.5YR,4,2,NA,,
2936,786,-34.405959,-59.27255,0,12,10YR 3/2,NA,24,22.3,93,1.57,6.4,29.8,10YR,3,2,NA,,
2937,786,-34.405959,-59.27255,12,27,10YR 2/2,NA,27.9,25.7,92,1.49,6.7,32.3,10YR,2,2,NA,,
2938,786,-34.405959,-59.27255,27,42,10YR 3/4,10YR 5/2,25.1,22.1,88,0.84,6.6,35.3,10YR,3,4,10YR,5,2
2939,786,-34.405959,-59.27255,42,63,10YR 3/3,10YR 3/4,21.2,17.9,85,0.83,6.2,29.5,10YR,3,3,10YR,3,4
2953,787,-34.569449,-59.399783,0,13,10YR 3/2,10YR 4/2,22.8,20.5,90,2.37,6,20.3,10YR,3,2,10YR,4,2
2954,787,-34.569449,-59.399783,13,24,10YR 3/2,10YR 4/2,22.8,20.2,89,1.62,6.1,24.5,10YR,3,2,10YR,4,2
2955,787,-34.569449,-59.399783,24,34,10YR 3/3,10YR 5/3,19.7,16.1,82,0.82,6.4,26.7,10YR,3,3,10YR,5,3
2956,787,-34.569449,-59.399783,34,49,10YR 3/3,10YR 4/3,20.6,17.9,87,0.43,6.5,32.2,10YR,3,3,10YR,4,3
2957,787,-34.569449,-59.399783,49,78,10YR 3/3,10YR 3/3,30.8,26.6,86,0.34,6.4,44.4,10YR,3,3,10YR,3,3
2961,788,-34.521194,-59.490503,0,16,10YR 2/2,10YR 6/2,17.7,15.5,88,2.11,7.1,25.4,10YR,2,2,10YR,6,2
2962,788,-34.521194,-59.490503,16,51,NA,10YR 3/2,33.2,NA,NA,1.01,8.9,55.4,NA,,,10YR,3,2
2966,789,-34.580471,-59.356781,0,6,10YR 3/2,10YR 6/2,24.5,20.6,84,1.83,6.4,25.3,10YR,3,2,10YR,6,2
2967,789,-34.580471,-59.356781,6,19,10YR 3/2,10YR 5/2,23,21.6,94,1.15,7,27.8,10YR,3,2,10YR,5,2
2968,789,-34.580471,-59.356781,19,37,10YR 3/2,10YR 4/2,23.4,23.4,100,0.89,7.9,28.9,10YR,3,2,10YR,4,2
2969,789,-34.580471,-59.356781,37,55,10YR 2/1,10YR 3/1,38.2,38.7,100,0.59,8.7,41.9,10YR,2,1,10YR,3,1
2973,790,-34.542048,-59.317413,0,20,10YR 2/2,NA,20.6,18.3,89,2.23,5.4,16.5,10YR,2,2,NA,,
2974,790,-34.542048,-59.317413,20,29,10YR 2/2,NA,20.3,18.1,89,1.53,6,16.2,10YR,2,2,NA,,
2975,790,-34.542048,-59.317413,29,41,10YR 3/3,NA,18.9,16.6,88,0.74,6.2,27.6,10YR,3,3,NA,,
2976,790,-34.542048,-59.317413,41,71,10YR 3/4,NA,33.3,31.8,95,0.62,6.4,53.9,10YR,3,4,NA,,
2980,791,-34.42209,-59.116519,0,9,10YR 3/2,10YR 5/2,27.6,21.2,77,2.43,5.7,28.7,10YR,3,2,10YR,5,2
2981,791,-34.42209,-59.116519,9,16,10YR 3/2,10YR 5/2,27.2,21.7,80,2.32,5.7,28.7,10YR,3,2,10YR,5,2
2982,791,-34.42209,-59.116519,16,23,10YR 4/2,10YR 5/2,27.2,20.2,74,1.27,5.8,30.2,10YR,4,2,10YR,5,2
2983,791,-34.42209,-59.116519,23,34,10YR 3/2,10YR 4/2,27.4,21.9,80,0.9,6.1,37.6,10YR,3,2,10YR,4,2
2984,791,-34.42209,-59.116519,34,60,7.5YR 3/2,NA,32.8,28.3,86,0.68,6.1,47.7,7.5YR,3,2,NA,,
